empresaCNPJ;codigoConta;saldoDia;dataBase
CNPJ1___;1844500002;42705,47;05/02/2026
CNPJ1___;1844510009;1640,9;05/02/2026
CNPJ1___;1844515004;35028,08;05/02/2026
CNPJ1___;1844520006;9042,99;05/02/2026
CNPJ1___;1989045006;22058,45;05/02/2026
CNPJ1___;3044500006;46242,34;05/02/2026
CNPJ1___;3044600009;26175,51;05/02/2026
CNPJ1___;3044610006;31238,1;05/02/2026
CNPJ1___;3044615001;48915,01;05/02/2026
CNPJ1___;3044620003;23826,53;05/02/2026
CNPJ1___;3044700002;46428,75;05/02/2026
CNPJ1___;3044710009;27248,68;05/02/2026
CNPJ1___;3044720006;26020,83;05/02/2026
CNPJ1___;3046020003;37967,51;05/02/2026
CNPJ2___;1844500002;2377137,62;05/02/2026
CNPJ2___;1844510009;1465799,84;05/02/2026
CNPJ2___;1844515004;2191516,94;05/02/2026
CNPJ2___;1844520006;2354125,62;05/02/2026
CNPJ2___;1989045006;1524549,51;05/02/2026
CNPJ2___;3044500006;870925,9;05/02/2026
CNPJ2___;3044600009;3627093,34;05/02/2026
CNPJ2___;3044610006;1531359,28;05/02/2026
CNPJ2___;3044615001;3454685,24;05/02/2026
CNPJ2___;3044620003;2928733,85;05/02/2026
CNPJ2___;3044700002;3953929,61;05/02/2026
CNPJ2___;3044710009;3200061,08;05/02/2026
CNPJ2___;3044720006;1289964,14;05/02/2026
CNPJ2___;3046020003;3651478,01;05/02/2026
CNPJ3___;1844500002;205044,73;05/02/2026
CNPJ3___;1844510009;290068,11;05/02/2026
CNPJ3___;1844515004;329826,72;05/02/2026
CNPJ3___;1844520006;222597,51;05/02/2026
CNPJ3___;1989045006;482592,95;05/02/2026
CNPJ3___;3044500006;71991,45;05/02/2026
CNPJ3___;3044600009;184950,47;05/02/2026
CNPJ3___;3044610006;222717,47;05/02/2026
CNPJ3___;3044615001;485689,42;05/02/2026
CNPJ3___;3044620003;100726,28;05/02/2026
CNPJ3___;3044700002;258823,99;05/02/2026
CNPJ3___;3044710009;78589,7;05/02/2026
CNPJ3___;3044720006;444316,21;05/02/2026
CNPJ3___;3046020003;465441,45;05/02/2026
CNPJ4___;1844500002;2933885,97;05/02/2026
CNPJ4___;1844510009;2054906,23;05/02/2026
CNPJ4___;1844515004;2858397,99;05/02/2026
CNPJ4___;1844520006;2036125,37;05/02/2026
CNPJ4___;1989045006;3582647,96;05/02/2026
CNPJ4___;3044500006;4847230,36;05/02/2026
CNPJ4___;3044600009;3458247,03;05/02/2026
CNPJ4___;3044610006;4346085,47;05/02/2026
CNPJ4___;3044615001;3658659,38;05/02/2026
CNPJ4___;3044620003;4705677,13;05/02/2026
CNPJ4___;3044700002;1711003,43;05/02/2026
CNPJ4___;3044710009;3493359,99;05/02/2026
CNPJ4___;3044720006;1848283,51;05/02/2026
