empresaCNPJ;codigoConta;saldoDia;dataBase
CNPJ1___;1844500002;4124076,06;07/02/2026
CNPJ1___;1844510009;3548309,67;07/02/2026
CNPJ1___;1844515004;3232021,92;07/02/2026
CNPJ1___;1844520006;3987962,03;07/02/2026
CNPJ1___;1989045006;3762145,11;07/02/2026
CNPJ1___;3044500006;1134819,56;07/02/2026
CNPJ1___;3044600009;1009408,1;07/02/2026
CNPJ1___;3044610006;2404416,3;07/02/2026
CNPJ1___;3044615001;2555391,36;07/02/2026
CNPJ1___;3044620003;1321139,2;07/02/2026
CNPJ1___;3044700002;3564538,99;07/02/2026
CNPJ1___;3044710009;2727093,48;07/02/2026
CNPJ1___;3044720006;1612250,59;07/02/2026
CNPJ1___;3046020003;3818935,49;07/02/2026
CNPJ2___;1844500002;195881,7;07/02/2026
CNPJ2___;1844510009;444320,02;07/02/2026
CNPJ2___;1844515004;151258,56;07/02/2026
CNPJ2___;1844520006;126234,98;07/02/2026
CNPJ2___;1989045006;223893,38;07/02/2026
CNPJ2___;3044500006;409856,92;07/02/2026
CNPJ2___;3044600009;214079,96;07/02/2026
CNPJ2___;3044610006;54986,57;07/02/2026
CNPJ2___;3044615001;75257,97;07/02/2026
CNPJ2___;3044620003;286640,72;07/02/2026
CNPJ2___;3044700002;491395,84;07/02/2026
CNPJ2___;3044710009;123387,89;07/02/2026
CNPJ2___;3044720006;299665,98;07/02/2026
CNPJ2___;3046020003;188447,68;07/02/2026
CNPJ3___;1844500002;248870,57;07/02/2026
CNPJ3___;1844510009;276175,27;07/02/2026
CNPJ3___;1844515004;313132,93;07/02/2026
CNPJ3___;1844520006;216272,86;07/02/2026
CNPJ3___;1989045006;467735,95;07/02/2026
CNPJ3___;3044500006;201619,03;07/02/2026
CNPJ3___;3044600009;242618,57;07/02/2026
CNPJ3___;3044610006;57626,61;07/02/2026
CNPJ3___;3044615001;216040,58;07/02/2026
CNPJ3___;3044620003;421654,67;07/02/2026
CNPJ3___;3044700002;197444,37;07/02/2026
CNPJ3___;3044710009;422707,72;07/02/2026
CNPJ3___;3044720006;369452,05;07/02/2026
CNPJ3___;3046020003;145138,85;07/02/2026
CNPJ4___;1844500002;24409,8;07/02/2026
CNPJ4___;1844510009;42705,18;07/02/2026
CNPJ4___;1844515004;4481,6;07/02/2026
CNPJ4___;1844520006;46121,64;07/02/2026
CNPJ4___;1989045006;32338,13;07/02/2026
CNPJ4___;3044500006;16125,53;07/02/2026
CNPJ4___;3044600009;37520,22;07/02/2026
CNPJ4___;3044610006;9068,42;07/02/2026
CNPJ4___;3044615001;36161,13;07/02/2026
CNPJ4___;3044620003;26123,99;07/02/2026
CNPJ4___;3044700002;8659,83;07/02/2026
CNPJ4___;3044710009;24079,07;07/02/2026
CNPJ4___;3044720006;44262,45;07/02/2026
CNPJ4___;3046020003;20333,19;07/02/2026
CNPJ5___;1844500002;229246,22;07/02/2026
CNPJ5___;1844510009;440983,08;07/02/2026
CNPJ5___;1844515004;209201,03;07/02/2026
CNPJ5___;1844520006;124342,9;07/02/2026
CNPJ5___;1989045006;319606,69;07/02/2026
CNPJ5___;3044500006;236602,92;07/02/2026
CNPJ5___;3044600009;63101,76;07/02/2026
CNPJ5___;3044610006;278424,35;07/02/2026
CNPJ5___;3044615001;319263,99;07/02/2026
CNPJ5___;3044620003;65778,6;07/02/2026
CNPJ5___;3044700002;415474,26;07/02/2026
CNPJ5___;3044710009;470628,15;07/02/2026
CNPJ5___;3044720006;349343,9;07/02/2026
CNPJ5___;3046020003;360465,0;07/02/2026
CNPJ6___;1844500002;326579,61;07/02/2026
CNPJ6___;1844510009;126548,3;07/02/2026
CNPJ6___;1844515004;64211,93;07/02/2026
CNPJ6___;1844520006;497405,92;07/02/2026
CNPJ6___;1989045006;490867,13;07/02/2026
CNPJ6___;3044500006;150179,74;07/02/2026
CNPJ6___;3044600009;207928,72;07/02/2026
CNPJ6___;3044610006;262804,95;07/02/2026
CNPJ6___;3044615001;291902,99;07/02/2026
CNPJ6___;3044620003;382281,37;07/02/2026
CNPJ6___;3044700002;381133,84;07/02/2026
CNPJ6___;3044710009;230220,72;07/02/2026
CNPJ6___;3044720006;79370,72;07/02/2026
CNPJ6___;3046020003;110448,18;07/02/2026
CNPJ7___;1844500002;317395,75;07/02/2026
CNPJ7___;1844510009;325997,78;07/02/2026
CNPJ7___;1844515004;230206,11;07/02/2026
CNPJ7___;1844520006;415863,12;07/02/2026
CNPJ7___;1989045006;63775,56;07/02/2026
CNPJ7___;3044500006;208874,24;07/02/2026
CNPJ7___;3044600009;263655,43;07/02/2026
CNPJ7___;3044610006;471097,11;07/02/2026
CNPJ7___;3044615001;425307,74;07/02/2026
CNPJ7___;3044620003;205016,7;07/02/2026
CNPJ7___;3044700002;370028,62;07/02/2026
CNPJ7___;3044710009;136252,19;07/02/2026
CNPJ7___;3044720006;113813,16;07/02/2026
CNPJ7___;3046020003;155448,53;07/02/2026
CNPJ8___;1844500002;140910,65;07/02/2026
CNPJ8___;1844510009;314505,74;07/02/2026
CNPJ8___;1844515004;360417,47;07/02/2026
CNPJ8___;1844520006;78493,74;07/02/2026
CNPJ8___;1989045006;56110,94;07/02/2026
CNPJ8___;3044500006;312143,79;07/02/2026
CNPJ8___;3044600009;485500,47;07/02/2026
CNPJ8___;3044610006;125168,7;07/02/2026
CNPJ8___;3044615001;494203,26;07/02/2026
CNPJ8___;3044620003;231603,28;07/02/2026
CNPJ8___;3044700002;432338,83;07/02/2026
CNPJ8___;3044710009;355055,0;07/02/2026
CNPJ8___;3044720006;75952,8;07/02/2026
CNPJ8___;3046020003;402999,52;07/02/2026
CNPJ9___;1844500002;336681,12;07/02/2026
CNPJ9___;1844510009;380621,43;07/02/2026
CNPJ9___;1844515004;448400,82;07/02/2026
CNPJ9___;1844520006;386643,35;07/02/2026
CNPJ9___;1989045006;144856,04;07/02/2026
CNPJ9___;3044500006;155618,09;07/02/2026
CNPJ9___;3044600009;152277,85;07/02/2026
CNPJ9___;3044610006;251162,5;07/02/2026
CNPJ9___;3044615001;274683,13;07/02/2026
CNPJ9___;3044620003;117741,28;07/02/2026
CNPJ9___;3044700002;312268,84;07/02/2026
CNPJ9___;3044710009;295870,61;07/02/2026
CNPJ9___;3044720006;462193,18;07/02/2026
CNPJ9___;3046020003;278551,72;07/02/2026
CNPJ10___;1844500002;38696,82;07/02/2026
CNPJ10___;1844510009;20996,57;07/02/2026
CNPJ10___;1844515004;5705,6;07/02/2026
CNPJ10___;1844520006;17382,8;07/02/2026
CNPJ10___;1989045006;13683,18;07/02/2026
CNPJ10___;3044500006;39469,95;07/02/2026
CNPJ10___;3044600009;16761,85;07/02/2026
CNPJ10___;3044610006;23353,87;07/02/2026
CNPJ10___;3044615001;11637,8;07/02/2026
CNPJ10___;3044620003;21397,59;07/02/2026
CNPJ10___;3044700002;15959,9;07/02/2026
CNPJ10___;3044710009;19787,79;07/02/2026
CNPJ10___;3044720006;5994,75;07/02/2026
CNPJ10___;3046020003;24877,45;07/02/2026
CNPJ11___;1844500002;433121,9;07/02/2026
CNPJ11___;1844510009;352019,75;07/02/2026
CNPJ11___;1844515004;231924,97;07/02/2026
CNPJ11___;1844520006;414647,74;07/02/2026
CNPJ11___;1989045006;180448,17;07/02/2026
CNPJ11___;3044500006;314856,18;07/02/2026
CNPJ11___;3044600009;126511,34;07/02/2026
CNPJ11___;3044610006;401541,36;07/02/2026
CNPJ11___;3044615001;239370,67;07/02/2026
CNPJ11___;3044620003;76992,29;07/02/2026
CNPJ11___;3044700002;253424,05;07/02/2026
CNPJ11___;3044710009;341500,96;07/02/2026
CNPJ11___;3044720006;283455,2;07/02/2026
CNPJ11___;3046020003;485960,08;07/02/2026
CNPJ12___;1844500002;11832,94;07/02/2026
CNPJ12___;1844510009;48322,31;07/02/2026
CNPJ12___;1844515004;16854,35;07/02/2026
CNPJ12___;1844520006;3052,12;07/02/2026
CNPJ12___;1989045006;45781,62;07/02/2026
CNPJ12___;3044500006;3879,6;07/02/2026
CNPJ12___;3044600009;29130,23;07/02/2026
CNPJ12___;3044610006;32492,01;07/02/2026
CNPJ12___;3044615001;44335,84;07/02/2026
CNPJ12___;3044620003;5033,19;07/02/2026
CNPJ12___;3044700002;21914,59;07/02/2026
CNPJ12___;3044710009;43093,09;07/02/2026
CNPJ12___;3044720006;48894,23;07/02/2026
CNPJ12___;3046020003;37147,84;07/02/2026
CNPJ13___;1844500002;12179,43;07/02/2026
CNPJ13___;1844510009;35423,23;07/02/2026
CNPJ13___;1844515004;25972,2;07/02/2026
CNPJ13___;1844520006;18477,2;07/02/2026
CNPJ13___;1989045006;27108,92;07/02/2026
CNPJ13___;3044500006;36349,86;07/02/2026
CNPJ13___;3044600009;44302,57;07/02/2026
CNPJ13___;3044610006;7312,99;07/02/2026
CNPJ13___;3044615001;20231,43;07/02/2026
CNPJ13___;3044620003;24003,82;07/02/2026
CNPJ13___;3044700002;46357,9;07/02/2026
CNPJ13___;3044710009;32677,35;07/02/2026
CNPJ13___;3044720006;11847,8;07/02/2026
CNPJ13___;3046020003;46401,14;07/02/2026
CNPJ14___;1844500002;9376,87;07/02/2026
CNPJ14___;1844510009;42993,03;07/02/2026
CNPJ14___;1844515004;28610,0;07/02/2026
CNPJ14___;1844520006;33913,45;07/02/2026
CNPJ14___;1989045006;34651,26;07/02/2026
CNPJ14___;3044500006;3583,59;07/02/2026
