empresaCNPJ;clienteId;tipoCliente;ticker;tickerID;DLT;DLTID;quantidade;valor;psavCustodiante;psavCustodiantePais;dataBase
CNPJ11___;CLIENTE129;2;XRP;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;5,62276572;348381,58;Z1234567;BR;06/02/2026
CNPJ41___;CLIENTE57;1;USDT;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;4,35929714;295241,66;Z1234567;BR;06/02/2026
CNPJ19___;CLIENTE41;1;ETH;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;8,2168341;310755,06;Z1234567;BR;06/02/2026
CNPJ29___;CLIENTE175;1;XRP;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;7,54569364;142960,51;Z1234567;BR;06/02/2026
CNPJ21___;CLIENTE39;2;BTC;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;6,28537866;15634,21;Z1234567;BR;06/02/2026
CNPJ2___;CLIENTE11;2;ETH;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;2,99986904;235408,57;Z1234567;BR;06/02/2026
CNPJ42___;CLIENTE192;1;ADA;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;1,97082593;330984,11;Z1234567;BR;06/02/2026
CNPJ33___;CLIENTE48;1;ETH;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;5,49844471;31947,87;Z1234567;BR;06/02/2026
CNPJ40___;CLIENTE56;1;SOL;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;5,02307192;150513,76;Z1234567;BR;06/02/2026
CNPJ25___;CLIENTE160;1;XRP;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;3,88648692;102652,6;Z1234567;BR;06/02/2026
CNPJ22___;CLIENTE191;1;XRP;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;7,25762036;233606,52;Z1234567;BR;06/02/2026
CNPJ3___;CLIENTE78;1;ADA;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;2,81890629;429277,92;Z1234567;BR;06/02/2026
CNPJ47___;CLIENTE158;2;XRP;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;6,68822661;442280,3;Z1234567;BR;06/02/2026
CNPJ48___;CLIENTE5;2;ETH;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;2,46191455;101914,76;Z1234567;BR;06/02/2026
