empresaCNPJ;clienteId;tipoCliente;ticker;tickerID;DLT;DLTID;quantidade;valor;psavCustodiante;psavCustodiantePais;dataBase
CNPJ18___;CLIENTE91;2;USDT;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;5,34115531;449236,01;Z1234567;BR;07/02/2026
CNPJ33___;CLIENTE100;2;ETH;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;1,05735497;459236,34;Z1234567;BR;07/02/2026
CNPJ18___;CLIENTE7;2;BTC;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;4,65713116;81267,01;Z1234567;BR;07/02/2026
CNPJ42___;CLIENTE20;1;SOL;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;4,65840336;194140,78;Z1234567;BR;07/02/2026
CNPJ17___;CLIENTE112;1;BTC;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;0,88179016;403245,85;Z1234567;BR;07/02/2026
CNPJ33___;CLIENTE189;1;XRP;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;3,46855166;254184,53;Z1234567;BR;07/02/2026
CNPJ42___;CLIENTE11;1;SOL;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;2,95061427;329823,75;Z1234567;BR;07/02/2026
CNPJ26___;CLIENTE170;2;SOL;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;0,54210906;229830,86;Z1234567;BR;07/02/2026
CNPJ16___;CLIENTE17;1;ETH;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;9,78031921;355302,32;Z1234567;BR;07/02/2026
CNPJ35___;CLIENTE55;2;USDT;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;7,46698399;266765,22;Z1234567;BR;07/02/2026
CNPJ40___;CLIENTE146;1;ADA;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;9,46531871;80132,85;Z1234567;BR;07/02/2026
CNPJ44___;CLIENTE42;2;SOL;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;3,09093587;416862,28;Z1234567;BR;07/02/2026
CNPJ34___;CLIENTE105;1;BTC;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;0,23191318;422042,75;Z1234567;BR;07/02/2026
CNPJ26___;CLIENTE28;1;ETH;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;9,57399767;30314,91;Z1234567;BR;07/02/2026
CNPJ32___;CLIENTE45;2;ETH;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;9,20541759;240140,8;Z1234567;BR;07/02/2026
CNPJ42___;CLIENTE26;2;ADA;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;3,06459105;84846,52;Z1234567;BR;07/02/2026
CNPJ38___;CLIENTE60;1;BTC;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;7,41600511;22052,18;Z1234567;BR;07/02/2026
CNPJ21___;CLIENTE166;1;SOL;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;6,95325768;163797,44;Z1234567;BR;07/02/2026
CNPJ29___;CLIENTE102;1;XRP;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;6,3974764;36365,15;Z1234567;BR;07/02/2026
CNPJ30___;CLIENTE49;1;SOL;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;8,69358493;370280,46;Z1234567;BR;07/02/2026
CNPJ17___;CLIENTE34;1;BTC;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;7,05244274;397940,41;Z1234567;BR;07/02/2026
CNPJ41___;CLIENTE161;1;SOL;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;3,54614074;478008,12;Z1234567;BR;07/02/2026
CNPJ35___;CLIENTE43;2;XRP;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;6,02857525;359108,7;Z1234567;BR;07/02/2026
CNPJ1___;CLIENTE105;1;XRP;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;1,16841265;90525,77;Z1234567;BR;07/02/2026
CNPJ47___;CLIENTE70;1;XRP;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;3,81856849;276208,12;Z1234567;BR;07/02/2026
CNPJ40___;CLIENTE38;2;USDT;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;5,48422397;32192,27;Z1234567;BR;07/02/2026
CNPJ19___;CLIENTE69;2;BTC;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;4,74601316;151713,24;Z1234567;BR;07/02/2026
CNPJ36___;CLIENTE173;1;XRP;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;5,49607338;210332,22;Z1234567;BR;07/02/2026
CNPJ33___;CLIENTE171;2;BTC;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;2,64683318;417127,03;Z1234567;BR;07/02/2026
CNPJ43___;CLIENTE74;2;BTC;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;3,6912463;318794,23;Z1234567;BR;07/02/2026
CNPJ34___;CLIENTE45;2;ADA;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;5,44551912;306988,64;Z1234567;BR;07/02/2026
CNPJ4___;CLIENTE145;1;XRP;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;9,2435968;89668,33;Z1234567;BR;07/02/2026
CNPJ43___;CLIENTE149;1;USDT;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;0,29188705;409366,58;Z1234567;BR;07/02/2026
CNPJ2___;CLIENTE65;2;BTC;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;7,27644199;367492,21;Z1234567;BR;07/02/2026
CNPJ30___;CLIENTE57;1;XRP;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;3,56705731;394123,65;Z1234567;BR;07/02/2026
CNPJ16___;CLIENTE50;1;XRP;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;8,03129678;281783,65;Z1234567;BR;07/02/2026
CNPJ9___;CLIENTE97;1;USDT;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;6,25966923;327079,96;Z1234567;BR;07/02/2026
CNPJ22___;CLIENTE8;1;XRP;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;1,77532305;429186,92;Z1234567;BR;07/02/2026
CNPJ25___;CLIENTE80;1;ETH;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;9,23104295;369033,68;Z1234567;BR;07/02/2026
CNPJ30___;CLIENTE151;2;ADA;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;8,88883718;190074,26;Z1234567;BR;07/02/2026
CNPJ46___;CLIENTE124;1;BTC;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;7,11003141;204993,4;Z1234567;BR;07/02/2026
CNPJ16___;CLIENTE6;2;SOL;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;8,06651389;228770,76;Z1234567;BR;07/02/2026
CNPJ21___;CLIENTE141;1;ADA;tickerID_exemplo;DLT_exemplo;DLTID_exemplo;9,91768404;80068,08;Z1234567;BR;07/02/2026
